Wafer Step,Year,Synthetic_Water_per_Wafer,Synthetic_Water_per_Wafer_noisy,Investment_Level,Wafer_Size,Water_Efficiency_Level,Percent_Reclaimed_Water,Percent_Municipal_Water,Reclamation_Tech_Level,Wafer_Intention
Cleaning,1,3.24E-05,3.37E-05,218.5430535,300,Low,82.02188977,17.97811023,5,Reduced
Cleaning,2,3.33E-05,3.17E-05,477.8214379,300,Low,64.72052451,35.27947549,4,Reduced
Cleaning,3,3.43E-05,3.50E-05,379.3972738,300,Low,56.31692515,43.68307485,5,Advanced
Cleaning,4,3.54E-05,3.53E-05,319.3963179,450,Medium,73.51545962,26.48454038,2,Advanced
Cleaning,5,3.64E-05,3.50E-05,120.2083882,200,Medium,59.20013649,40.79986351,4,Current
Cleaning,6,3.75E-05,3.84E-05,120.1975342,300,High,82.40539428,17.59460572,3,Advanced
Cleaning,7,3.86E-05,4.04E-05,76.13762548,200,High,84.04211184,15.95788816,4,Advanced
Cleaning,8,3.98E-05,4.04E-05,439.7792656,300,Medium,55.30325561,44.69674439,3,Advanced
Cleaning,9,4.10E-05,4.29E-05,320.5017553,200,Low,46.60966783,53.39033217,3,Current
Cleaning,10,4.22E-05,4.17E-05,368.63266,200,Medium,65.54101972,34.45898028,4,Advanced
Cleaning,11,4.35E-05,4.27E-05,59.26302243,200,Medium,84.74180074,15.25819926,3,Current
Cleaning,12,4.48E-05,4.38E-05,486.4594335,300,Low,42.63973134,57.36026866,3,Reduced
Cleaning,13,4.61E-05,4.39E-05,424.5991884,300,Medium,67.37799501,32.62200499,2,Advanced
Cleaning,14,4.75E-05,4.73E-05,145.5525998,300,Medium,67.89361321,32.10638679,5,Advanced
Cleaning,15,4.90E-05,4.66E-05,131.8212352,450,Medium,73.98678134,26.01321866,5,Advanced
Cleaning,16,5.04E-05,4.86E-05,132.5320294,300,Medium,37.89406111,62.10593889,2,Reduced
Cleaning,17,5.19E-05,5.01E-05,186.9090093,300,Low,72.94949788,27.05050212,4,Advanced
Cleaning,18,5.35E-05,5.31E-05,286.1403942,450,High,84.54195124,15.45804876,1,Advanced
Cleaning,19,5.51E-05,5.45E-05,244.3752584,300,Medium,40.78098653,59.21901347,1,Advanced
Cleaning,20,5.68E-05,5.93E-05,181.0531131,450,Low,44.2525995,55.7474005,1,Current
Cleaning,21,5.85E-05,5.83E-05,325.3338026,200,High,88.28370564,11.71629436,2,Current
Cleaning,22,6.02E-05,6.16E-05,112.7722373,450,Medium,40.85861716,59.14138284,2,Current
Cleaning,23,6.20E-05,6.50E-05,181.4650918,200,High,81.2631056,18.7368944,3,Reduced
Cleaning,24,6.39E-05,6.58E-05,214.8628295,450,Medium,59.53667139,40.46332861,1,Advanced
Cleaning,25,6.58E-05,6.61E-05,255.2314929,300,Medium,44.83386446,55.16613554,4,Reduced
Cleaning,26,6.78E-05,6.98E-05,403.3291826,450,Low,82.24499408,17.75500592,4,Advanced
Cleaning,27,6.98E-05,6.92E-05,139.853202,200,Low,56.7183153,43.2816847,1,Reduced
Cleaning,28,7.19E-05,7.16E-05,281.4054973,300,Medium,60.88904124,39.11095876,1,Current
Cleaning,29,7.40E-05,7.27E-05,316.586556,450,Medium,51.55400216,48.44599784,1,Reduced
Cleaning,30,7.63E-05,7.73E-05,70.90268572,300,Low,65.57705109,34.42294891,2,Advanced
Cleaning,31,7.86E-05,7.50E-05,323.3951834,300,Low,39.81143236,60.18856764,2,Advanced
Cleaning,32,8.09E-05,8.03E-05,126.7358557,300,High,53.4648922,46.5351078,2,Advanced
Cleaning,33,8.33E-05,8.02E-05,79.27321684,300,High,88.16473934,11.83526066,5,Advanced
Cleaning,34,8.58E-05,8.66E-05,476.9984918,300,Medium,45.48800596,54.51199404,4,Advanced
Cleaning,35,8.84E-05,9.23E-05,484.5344149,300,Low,69.40419987,30.59580013,4,Advanced
Cleaning,36,9.11E-05,8.76E-05,413.7788067,450,Low,49.51140385,50.48859615,3,Advanced
Cleaning,37,9.38E-05,9.53E-05,187.0761961,200,Low,76.40838754,23.59161246,2,Current
Cleaning,38,9.66E-05,9.20E-05,93.9524513,300,High,37.85241964,62.14758036,5,Reduced
Cleaning,39,9.95E-05,0.000103768,357.9048619,450,Low,88.1892627,11.8107373,5,Current
Cleaning,40,0.000102498,0.000104371,248.0686222,450,Medium,57.22737248,42.77262752,4,Advanced
Cleaning,41,0.000105572,0.000104549,104.9172057,300,Low,44.1630278,55.8369722,2,Current
Cleaning,42,0.00010874,0.000107821,272.8296096,300,Medium,34.40980484,65.59019516,3,Advanced
Cleaning,43,0.000112002,0.000115902,65.4748345,300,Medium,40.18547431,59.81452569,2,Reduced
Cleaning,44,0.000115362,0.000112516,459.1941809,200,High,61.18643691,38.81356309,1,Advanced
Cleaning,45,0.000118823,0.000123005,166.4509917,300,Low,50.22019059,49.77980941,2,Current
Cleaning,46,0.000122387,0.000119613,348.135028,300,Low,79.73300195,20.26699805,1,Reduced
Cleaning,47,0.000126059,0.00012736,190.2699842,300,Low,55.85325142,44.14674858,1,Reduced
Cleaning,48,0.000129841,0.000133423,284.0306095,200,High,44.92285636,55.07714364,3,Current
