Wafer Step,Year,Synthetic_Water_per_Wafer,Synthetic_Water_per_Wafer_noisy,Investment_Level,Wafer_Size,Water_Efficiency_Level,Percent_Reclaimed_Water,Percent_Municipal_Water,Reclamation_Tech_Level,Wafer_Intention
Cleaning,1,3.236396166326208e-05,3.374869422546247e-05,218.5430534813131,300,Low,82.02188976734692,17.97811023265308,5,Reduced
Cleaning,2,3.333488051315994e-05,3.172635497567117e-05,477.8214378844623,300,Low,64.7205245143436,35.279475485656405,4,Reduced
Cleaning,3,3.433492692855474e-05,3.496053646617719e-05,379.3972738151323,300,Low,56.31692515137543,43.68307484862457,5,Advanced
Cleaning,4,3.536497473641138e-05,3.527920512641391e-05,319.3963178886665,450,Medium,73.51545962490819,26.48454037509181,2,Advanced
Cleaning,5,3.642592397850373e-05,3.498180498676632e-05,120.20838819909643,200,Medium,59.200136485482176,40.799863514517824,4,Current
Cleaning,6,3.751870169785884e-05,3.836797268501566e-05,120.1975341512912,300,High,82.40539428489964,17.594605715100357,3,Advanced
Cleaning,7,3.86442627487946e-05,4.03755946943402e-05,76.13762547568976,200,High,84.04211184067552,15.957888159324483,4,Advanced
Cleaning,8,3.980359063125844e-05,4.044828937369813e-05,439.7792655987208,300,Medium,55.30325561240733,44.69674438759267,3,Advanced
Cleaning,9,4.09976983501962e-05,4.286406844631605e-05,320.50175528444396,200,Low,46.60966783410309,53.39033216589691,3,Current
Cleaning,10,4.222762930070208e-05,4.173249447621515e-05,368.63266000822045,200,Medium,65.54101971560173,34.458980284398265,4,Advanced
Cleaning,11,4.349445817972315e-05,4.273501373824117e-05,59.263022433111104,200,Medium,84.74180073700145,15.258199262998545,3,Current
Cleaning,12,4.479929192511484e-05,4.378854766368333e-05,486.45943347289744,300,Low,42.63973134033999,57.36026865966001,3,Reduced
Cleaning,13,4.614327068286829e-05,4.392312834887023e-05,424.59918836018977,300,Medium,67.37799501380897,32.62200498619103,2,Advanced
Cleaning,14,4.752756880335434e-05,4.731070789642216e-05,145.55259980522428,300,Medium,67.89361320555123,32.10638679444877,5,Advanced
Cleaning,15,4.895339586745498e-05,4.660672440059716e-05,131.82123524319528,450,Medium,73.98678134491686,26.013218655083136,5,Advanced
Cleaning,16,5.042199774347862e-05,4.864108312840568e-05,132.53202943404523,300,Medium,37.894061107635586,62.105938892364414,2,Reduced
Cleaning,17,5.193465767578298e-05,5.006377464653549e-05,186.90900933179196,300,Low,72.94949788092532,27.05050211907468,4,Advanced
Cleaning,18,5.349269740605647e-05,5.305461105825399e-05,286.140394234507,450,High,84.54195123993847,15.45804876006153,1,Advanced
Cleaning,19,5.509747832823817e-05,5.451729811755509e-05,244.3752583889521,300,Medium,40.78098653221452,59.21901346778548,1,Advanced
Cleaning,20,5.675040267808532e-05,5.928898562709023e-05,181.05311308911885,450,Low,44.25259949543266,55.74740050456734,1,Current
Cleaning,21,5.845291475842788e-05,5.828568738277195e-05,325.33380262507075,200,High,88.28370564249838,11.716294357501624,2,Current
Cleaning,22,6.020650220118071e-05,6.157436766108793e-05,112.77223729341883,450,Medium,40.85861716256939,59.14138283743061,2,Current
Cleaning,23,6.201269726721614e-05,6.49963071984121e-05,181.46509184084817,200,High,81.26310560217475,18.736894397825253,3,Reduced
Cleaning,24,6.387307818523262e-05,6.577592356387357e-05,214.86282948216126,450,Medium,59.53667138688209,40.46332861311791,1,Advanced
Cleaning,25,6.578927053078961e-05,6.613169204807336e-05,255.23149289766616,300,Medium,44.833864464190626,55.166135535809374,4,Reduced
Cleaning,26,6.77629486467133e-05,6.97887790012654e-05,403.3291826268561,450,Low,82.24499407635068,17.75500592364932,4,Advanced
Cleaning,27,6.97958371061147e-05,6.918038047375604e-05,139.85320197126188,200,Low,56.71831530015993,43.28168469984007,1,Reduced
Cleaning,28,7.188971221929815e-05,7.155733321514247e-05,281.4054972861252,300,Medium,60.88904123578141,39.11095876421859,1,Current
Cleaning,29,7.404640358587708e-05,7.271560352837842e-05,316.5865559879191,450,Medium,51.55400216398594,48.44599783601406,1,Reduced
Cleaning,30,7.626779569345341e-05,7.731135597035696e-05,70.90268572399897,300,Low,65.57705108609565,34.42294891390435,2,Advanced
Cleaning,31,7.8555829564257e-05,7.502712392278993e-05,323.39518335564725,300,Low,39.81143235510137,60.18856764489863,2,Advanced
Cleaning,32,8.091250445118471e-05,8.028835692932357e-05,126.73585565928119,300,High,53.46489219910564,46.53510780089436,2,Advanced
Cleaning,33,8.333987958472025e-05,8.02016718225135e-05,79.27321684337578,300,High,88.16473934011725,11.83526065988275,5,Advanced
Cleaning,34,8.584007597226187e-05,8.664959093945086e-05,476.99849176399994,300,Medium,45.48800596206765,54.51199403793235,4,Advanced
Cleaning,35,8.841527825142972e-05,9.225633400337798e-05,484.53441488355173,300,Low,69.40419987247753,30.595800127522466,4,Advanced
Cleaning,36,9.106773659897263e-05,8.760990753984776e-05,413.7788066524075,450,Low,49.511403853481696,50.488596146518304,3,Advanced
Cleaning,37,9.379976869694181e-05,9.52733727586113e-05,187.07619612801682,200,Low,76.40838754119605,23.59161245880395,2,Current
Cleaning,38,9.661376175785005e-05,9.204550943951948e-05,93.95245130287273,300,High,37.85241964310099,62.14758035689901,5,Reduced
Cleaning,39,9.951217461058557e-05,0.0001037678815531314,357.9048619304706,450,Low,88.18926270471269,11.81073729528731,5,Current
Cleaning,40,0.0001024975398489031,0.0001043713156324246,248.06862218282058,450,Medium,57.22737248301836,42.77262751698164,4,Advanced
Cleaning,41,0.0001055724660443702,0.0001045485148150834,104.91720568015047,300,Low,44.16302780078784,55.83697219921216,2,Current
Cleaning,42,0.0001087396400257013,0.0001078209527087948,272.8296095500716,300,Medium,34.409804839800756,65.59019516019924,3,Advanced
Cleaning,43,0.0001120018292264724,0.0001159015714370041,65.47483450184828,300,Medium,40.18547430525244,59.81452569474756,2,Reduced
Cleaning,44,0.0001153618841032666,0.0001125160044079564,459.1941809354519,200,High,61.186436913361064,38.813563086638936,1,Advanced
Cleaning,45,0.0001188227406263646,0.0001230053933352389,166.4509917200076,300,Low,50.22019058587718,49.77980941412282,2,Current
Cleaning,46,0.0001223874228451555,0.000119612985924501,348.1350279592919,300,Low,79.73300195295657,20.26699804704343,1,Reduced
Cleaning,47,0.0001260590455305102,0.0001273602394311063,190.26998424023492,300,Low,55.85325141970836,44.14674858029164,1,Reduced
Cleaning,48,0.0001298408168964255,0.0001334228621536891,284.0306095300149,200,High,44.92285635525779,55.07714364474221,3,Current
Cleaning,49,0.0001337360414033182,0.000132698935366827,296.01962570447586,450,High,67.0286991962418,32.9713008037582,4,Reduced
Cleaning,50,0.0001377481226454178,0.0001436922070431094,133.18450498648718,450,Medium,72.40663301312675,27.59336698687325,2,Reduced
Photolithography,1,1.618198083163104e-05,1.644407814058954e-05,486.31308249405134,300,Medium,40.02251447405699,59.97748552594301,1,Current
Photolithography,2,1.666744025657997e-05,1.624018558941882e-05,398.80977051250153,300,Medium,40.05715297729906,59.94284702270094,2,Current
Photolithography,3,1.716746346427737e-05,1.653902931971408e-05,472.7745237038851,300,Low,32.20028561601258,67.79971438398742,4,Current
Photolithography,4,1.768248736820569e-05,1.749957229727787e-05,452.67230769244196,450,High,74.18412090393844,25.815879096061565,4,Current
Photolithography,5,1.821296198925186e-05,1.779416577985258e-05,319.0549904649883,300,Medium,69.8282716573083,30.171728342691694,5,Current
Photolithography,6,1.875935084892942e-05,1.897443912958134e-05,464.84340576040256,200,Medium,58.477852544988835,41.522147455011165,4,Current
Photolithography,7,1.93221313743973e-05,2.000964841445113e-05,89.82162592336377,450,Medium,80.65022693815183,19.34977306184817,3,Advanced
Photolithography,8,1.990179531562922e-05,1.933772594723918e-05,138.19228808861533,450,Low,78.34020917700319,21.65979082299681,1,Advanced
Photolithography,9,2.04988491750981e-05,2.130328539120744e-05,70.35228000974213,450,Low,65.12126186380513,34.87873813619487,5,Advanced
Photolithography,10,2.111381465035104e-05,2.12845222833745e-05,196.39864884346895,300,Medium,82.09627683079552,17.903723169204483,3,Advanced
Photolithography,11,2.174722908986157e-05,2.268138915213901e-05,224.9047803602669,300,Low,42.350472602206096,57.649527397793904,2,Advanced
Photolithography,12,2.239964596255742e-05,2.349893288271701e-05,172.10706429825316,300,Medium,36.71517716386367,63.28482283613633,1,Current
Photolithography,13,2.307163534143415e-05,2.283139221122393e-05,422.9318791183682,450,Low,46.18497669101937,53.81502330898063,4,Advanced
Photolithography,14,2.376378440167717e-05,2.28957715939538e-05,210.53899701211517,450,Medium,33.42521136535889,66.57478863464111,1,Reduced
Photolithography,15,2.447669793372749e-05,2.563104726278438e-05,176.42052935932134,200,Low,61.87017168006192,38.12982831993808,2,Advanced
Photolithography,16,2.521099887173931e-05,2.605866916146343e-05,294.21323742121183,200,Medium,86.19634153769769,13.803658462302309,5,Advanced
Photolithography,17,2.596732883789149e-05,2.533681808617597e-05,113.41590123864319,300,Medium,32.36061244011058,67.63938755988943,5,Current
Photolithography,18,2.674634870302824e-05,2.609470879462644e-05,410.98864133931784,450,Low,37.32659484060161,62.67340515939839,5,Current
Photolithography,19,2.754873916411909e-05,2.830647967105738e-05,83.54778965589688,450,Medium,57.13194169700611,42.86805830299389,4,Advanced
Photolithography,20,2.837520133904266e-05,2.802688948014687e-05,494.0991214702328,200,Medium,86.0325010516743,13.967498948325698,3,Reduced
Photolithography,21,2.922645737921394e-05,2.924790722844213e-05,397.51014618349586,300,Medium,48.96936629860503,51.03063370139497,3,Reduced
Photolithography,22,3.010325110059036e-05,2.942033807567772e-05,139.4220566903776,300,High,60.43408852130355,39.56591147869645,1,Advanced
Photolithography,23,3.100634863360807e-05,2.970543812202846e-05,52.48495270562108,450,Medium,32.494371543023526,67.50562845697647,4,Advanced
Photolithography,24,3.193653909261631e-05,3.203244611680989e-05,416.95764280467534,450,Low,38.90059205772533,61.09940794227467,5,Reduced
Photolithography,25,3.289463526539481e-05,3.209895180175521e-05,368.0858047314277,450,Low,89.19780737753081,10.802192622469192,5,Current
Photolithography,26,3.388147432335665e-05,3.455348561153946e-05,378.0532256184443,300,Low,87.90712178616273,12.092878213837267,2,Current
Photolithography,27,3.489791855305735e-05,3.56428389480465e-05,397.0716560086756,300,Medium,30.296398856064577,69.70360114393543,2,Reduced
Photolithography,28,3.594485610964907e-05,3.649592810187456e-05,83.32009328034067,300,Low,87.10870712539435,12.891292874605654,5,Advanced
Photolithography,29,3.702320179293854e-05,3.54806666352785e-05,211.30957784492267,200,Medium,68.34719626893002,31.65280373106998,5,Current
Photolithography,30,3.81338978467267e-05,3.857323847455514e-05,102.14107678630837,450,Medium,82.07509767120132,17.92490232879868,4,Advanced
Photolithography,31,3.92779147821285e-05,3.922545374899515e-05,438.3965416440171,450,Medium,57.28439133803155,42.71560866196845,3,Current
Photolithography,32,4.045625222559235e-05,3.984411496657857e-05,330.48415707240105,450,Medium,60.93576171475502,39.06423828524498,2,Current
Photolithography,33,4.166993979236013e-05,4.029096317498655e-05,198.90411118369212,450,Low,59.33079481541521,40.66920518458479,3,Current
Photolithography,34,4.292003798613093e-05,4.297864912005183e-05,78.60125762871064,300,Low,70.01185545276627,29.98814454723373,4,Advanced
