Wafer Step,Year,Synthetic_Water_per_Wafer,Synthetic_Water_per_Wafer_noisy,Investment_Level,Wafer_Size,Water_Efficiency_Level,Percent_Reclaimed_Water,Percent_Municipal_Water,Reclamation_Tech_Level,Wafer_Intention,Investment_Efficiency,Water_Stress_Index,Composite_Risk_Score,Year_Squared
Cleaning,1,3.2364e-05,3.37487e-05,218.5430534813131,300,Low,82.02188976734692,17.97811023265308,5,Reduced,43.708610696262625,5393.433069795924,113.52378832272933,1
Cleaning,2,3.33349e-05,3.17264e-05,477.8214378844623,300,Low,64.72052451,35.279475485656405,4,Reduced,119.45535947111557,10583.842645696921,211.7447325,4
Cleaning,3,3.43349e-05,3.49605e-05,379.3972738151323,300,Low,56.31692515137543,43.68307484862457,5,Advanced,75.87945476302646,13104.922454587371,170.15398707146554,9
Cleaning,4,3.5365e-05,3.52792e-05,319.3963178886665,450,Medium,73.51545962490819,26.48454037509181,2,Advanced,159.69815894433324,11918.043168791315,150.41316504293906,16
Cleaning,5,3.64259e-05,3.49818e-05,120.20838819909643,200,Medium,59.200136485482176,40.799863514517824,4,Current,30.05209704977411,8159.972702903565,67.04339622528323,25
Cleaning,6,3.75187e-05,3.8368e-05,120.1975341512912,300,High,82.40539428489964,17.594605715100357,3,Advanced,40.065844717097065,5278.381714530107,73.70063194598637,36
Cleaning,7,3.86443e-05,4.03756e-05,76.13762547568976,200,High,84.04211184067552,15.957888159324485,4,Advanced,19.03440636892244,3191.577631864897,56.86768374247856,49
Cleaning,8,3.98036e-05,4.04483e-05,439.7792655987208,300,Medium,55.30325561240733,44.69674438759267,3,Advanced,146.59308853290693,13409.023316277802,193.40268292321056,64
Cleaning,9,4.09977e-05,4.28641e-05,320.5017553,200,Low,46.60966783410309,53.39033216589691,3,Current,106.83391842814801,10678.066433179381,143.08360246400855,81
Cleaning,10,4.22276e-05,4.17325e-05,368.63266000822045,200,Medium,65.54101971560173,34.458980284398265,4,Advanced,92.15816500205511,6891.796056879653,168.3153699179687,100
Cleaning,11,4.34945e-05,4.2735e-05,59.263022433111104,200,Medium,84.74180073700145,15.258199262998543,3,Current,19.754340811037036,3051.639852599709,50.02774919434488,121
Cleaning,12,4.47993e-05,4.37885e-05,486.45943347289744,300,Low,42.63973134033999,57.36026865966001,3,Reduced,162.15314449096581,17208.080597898002,208.27569279126098,144
Cleaning,13,4.61433e-05,4.39231e-05,424.59918836018977,300,Medium,67.37799501380897,32.62200498619103,2,Advanced,212.29959418009489,9786.601495857309,190.6530738482186,169
Cleaning,14,4.75276e-05,4.73107e-05,145.55259980522428,300,Medium,67.89361320555123,32.10638679444877,5,Advanced,29.110519961044854,9631.916038,80.08912388,196
Cleaning,15,4.89534e-05,4.66067e-05,131.82123524319528,450,Medium,73.98678134491686,26.013218655083136,5,Advanced,26.364247048639054,11705.94839478741,76.42452850075317,225
Cleaning,16,5.0422e-05,4.86411e-05,132.53202943404523,300,Medium,37.89406110763559,62.105938892364414,2,Reduced,66.26601471702261,18631.781667709325,64.98103010590877,256
Cleaning,17,5.19347e-05,5.00638e-05,186.9090093,300,Low,72.94949788092532,27.05050211907468,4,Advanced,46.72725233,8115.150635722403,97.8484531,289
Cleaning,18,5.34927e-05,5.30546e-05,286.1403942,450,High,84.54195123993847,15.45804876006153,1,Advanced,286.1403942,6956.121942027688,140.11874306578437,324
Cleaning,19,5.50975e-05,5.45173e-05,244.3752583889521,300,Medium,40.78098653221452,59.21901346778548,1,Advanced,244.3752583889521,17765.704040335644,110.2843993152452,361
Cleaning,20,5.67504e-05,5.9289e-05,181.05311308911885,450,Low,44.25259949543266,55.74740050456734,1,Current,181.05311308911885,25086.330227055303,85.99702508427734,400
Cleaning,21,5.84529e-05,5.82857e-05,325.33380262507075,200,High,88.28370564249838,11.716294357501624,2,Current,162.66690131253537,2343.258871500325,157.2186327427778,441
Cleaning,22,6.02065e-05,6.15744e-05,112.77223729341884,450,Medium,40.85861716256939,59.14138283743061,2,Current,56.38611864670942,26613.622276843776,57.96648006613835,484
Cleaning,23,6.20127e-05,6.49963e-05,181.46509184084815,200,High,81.26310560217475,18.736894397825253,3,Reduced,60.488363946949384,3747.3788795650507,97.86496842,529
Cleaning,24,6.38731e-05,6.57759e-05,214.8628294821613,450,Medium,59.53667138688209,40.46332861311791,1,Advanced,214.8628294821613,18208.49787590306,104.10613320892914,576
Cleaning,25,6.57893e-05,6.61317e-05,255.23149289766616,300,Medium,44.83386446419063,55.166135535809374,4,Reduced,63.80787322441654,16549.84066074281,116.74275649832366,625
Cleaning,26,6.77629e-05,6.97888e-05,403.3291826268561,450,Low,82.24499407635068,17.75500592364932,4,Advanced,100.83229565671402,7989.752665642194,187.20517127364764,676
Cleaning,27,6.97958e-05,6.91804e-05,139.85320197126188,200,Low,56.71831530015993,43.28168469984007,1,Reduced,139.85320197126188,8656.336939968014,73.25677537855273,729
Cleaning,28,7.18897e-05,7.15573e-05,281.4054972861252,300,Medium,60.88904123578141,39.11095876421859,1,Current,281.4054972861252,11733.287629265576,131.1289112851845,784
Cleaning,29,7.40464e-05,7.27156e-05,316.5865559879191,450,Medium,51.55400216398594,48.44599783601406,1,Reduced,316.5865559879191,21800.699026206326,142.40082304436342,841
Cleaning,30,7.62678e-05,7.73114e-05,70.90268572399897,300,Low,65.57705108609565,34.42294891390435,2,Advanced,35.451342861999485,10326.884674171304,48.634189615428284,900
Cleaning,31,7.85558e-05,7.50271e-05,323.39518335564725,300,Low,39.81143235510137,60.18856764489863,2,Advanced,161.69759167782362,18056.57029346959,141.90150304878932,961
Cleaning,32,8.09125e-05,8.02884e-05,126.7358556592812,300,High,53.46489219910564,46.53510780089436,2,Advanced,63.36792783,13960.532340268308,67.33380992344418,1024
Cleaning,33,8.33399e-05,8.02017e-05,79.27321684337578,300,High,88.16473934011725,11.83526065988275,5,Advanced,15.854643368675156,3550.5781979648245,59.658708539385486,1089
Cleaning,34,8.58401e-05,8.66496e-05,476.9984918,300,Medium,45.48800596206765,54.51199403793235,4,Advanced,119.2496229,16353.598211379704,205.6457984942203,1156
Cleaning,35,8.84153e-05,9.22563e-05,484.5344148835517,300,Low,69.40419987247753,30.595800127522462,4,Advanced,121.13360372088792,9178.740038,215.83502591516392,1225
Cleaning,36,9.10677e-05,8.76099e-05,413.7788066524075,450,Low,49.511403853481696,50.488596146518304,3,Advanced,137.92626888413585,22719.868265933237,181.26494381700752,1296
Cleaning,37,9.37998e-05,9.52734e-05,187.0761961280168,200,Low,76.40838754119605,23.59161245880395,2,Current,93.53809806,4718.322492,98.35299471356552,1369
Cleaning,38,9.66138e-05,9.20455e-05,93.95245130287272,300,High,37.85241964310099,62.14758035689901,5,Reduced,18.790490260574543,18644.274107069705,50.43670641407938,1444
Cleaning,39,9.95122e-05,0.000103768,357.9048619304706,450,Low,88.18926270471269,11.81073729528731,5,Current,71.58097238609412,5314.831783,171.11872358360205,1521
Cleaning,40,0.000102498,0.000104371,248.06862218282055,450,Medium,57.22737248301836,42.77262751698164,4,Advanced,62.01715554570514,19247.68238264174,117.59566061803373,1600
Cleaning,41,0.000105572,0.000104549,104.91720568015047,300,Low,44.16302780078784,55.83697219921216,2,Current,52.45860284007524,16751.09165976365,55.81579061229654,1681
Cleaning,42,0.00010874,0.000107821,272.8296095500716,300,Medium,34.40980483980076,65.59019516019924,3,Advanced,90.94320318,19677.058548059773,120.35478527196888,1764
Cleaning,43,0.000112002,0.000115902,65.47483450184828,300,Medium,40.18547430525244,59.81452569474756,2,Reduced,32.73741725092414,17944.357708424268,38.84557609231504,1849
Cleaning,44,0.000115362,0.000112516,459.1941809354519,200,High,61.18643691336106,38.813563086638936,1,Advanced,459.1941809354519,7762.7126173277875,202.3336034481891,1936
Cleaning,45,0.000118823,0.000123005,166.4509917200076,300,Low,50.22019058587718,49.77980941412282,2,Current,83.22549586,14933.942824236847,82.24645386376619,2025
Cleaning,46,0.000122387,0.000119613,348.1350279592919,300,Low,79.73300195295657,20.26699804704343,1,Reduced,348.1350279592919,6080.099414113029,163.47391176960375,2116
Cleaning,47,0.000126059,0.00012736,190.2699842402349,300,Low,55.85325141970836,44.14674858029164,1,Reduced,190.2699842402349,13244.024574087493,93.16396912200646,2209
Cleaning,48,0.000129841,0.000133423,284.0306095300149,200,High,44.92285635525779,55.07714364474221,3,Current,94.67686984,11015.428728948442,127.9891007185833,2304
Cleaning,49,0.000133736,0.000132699,296.01962570447586,450,High,67.0286992,32.9713008,4,Reduced,74.00490642611896,14837.085361691188,139.7164600406629,2401
Cleaning,50,0.000137748,0.000143692,133.18450498648718,450,Medium,72.40663301312675,27.59336698687325,2,Reduced,66.59225249324359,12417.015144092962,75.5957919,2500
Photolithography,1,1.6182e-05,1.64441e-05,486.31308249405134,300,Medium,40.02251447405699,59.97748552594301,1,Current,486.31308249405134,17993.245657782903,206.83198733983767,1
Photolithography,2,1.66674e-05,1.62402e-05,398.80977051250153,300,Medium,40.05715297729906,59.94284702270094,2,Current,199.40488525625076,17982.854106810282,172.14105409819032,4
Photolithography,3,1.71675e-05,1.6539e-05,472.7745237038851,300,Low,32.20028561601258,67.79971438398742,4,Current,118.19363092597128,20339.914315196227,199.96989516635782,9
Photolithography,4,1.76825e-05,1.74996e-05,452.6723077,450,High,74.18412090393844,25.815879096061565,4,Current,113.1680769231105,11617.145593227704,204.52415934815835,16
Photolithography,5,1.8213e-05,1.77942e-05,319.0549904649883,300,Medium,69.82827166,30.171728342691694,5,Current,63.81099809299766,9051.518502807508,150.07047768318782,25
Photolithography,6,1.87594e-05,1.89744e-05,464.84340576040256,200,Medium,58.47785254498884,41.522147455011165,4,Current,116.21085144010064,8304.429491002233,204.6807180676577,36
Photolithography,7,1.93221e-05,2.00096e-05,89.82162592336377,450,Medium,80.65022693815183,19.34977306184817,3,Advanced,29.94054197445459,8707.397877831676,61.02371845079106,49
Photolithography,8,1.99018e-05,1.93377e-05,138.19228808861533,450,Low,78.34020917700319,21.65979082299681,1,Advanced,138.19228808861533,9746.905870348564,79.07897798854708,64
Photolithography,9,2.04988e-05,2.13033e-05,70.35228000974213,450,Low,65.12126186380513,34.87873813619487,5,Advanced,14.070456001948425,15695.43216128769,49.17729056,81
Photolithography,10,2.11138e-05,2.12845e-05,196.39864884346892,300,Medium,82.09627683079552,17.903723169204483,3,Advanced,65.46621628,5371.116950761345,104.08834258662623,100
Photolithography,11,2.17472e-05,2.26814e-05,224.9047803602669,300,Low,42.350472602206096,57.649527397793904,2,Advanced,112.45239018013345,17294.85821933817,103.26705392476859,121
Photolithography,12,2.23996e-05,2.34989e-05,172.10706429825316,300,Medium,36.71517716386367,63.28482283613633,1,Current,172.10706429825316,18985.446850840897,80.15737886846037,144
Photolithography,13,2.30716e-05,2.28314e-05,422.9318791183682,450,Low,46.18497669101937,53.81502330898063,4,Advanced,105.73296977959205,24216.760489041284,184.2282446546531,169
Photolithography,14,2.37638e-05,2.28958e-05,210.5389970121152,450,Medium,33.42521136535889,66.57478863464111,1,Reduced,210.5389970121152,29958.654885588498,94.54316221445374,196
Photolithography,15,2.44767e-05,2.5631e-05,176.42052935932134,200,Low,61.87017168006192,38.12982831993808,2,Advanced,88.21026467966067,7625.965663987616,89.72926324774711,225
Photolithography,16,2.5211e-05,2.60587e-05,294.21323742121183,200,Medium,86.19634153769769,13.803658462302309,5,Advanced,58.84264748424236,2760.731692460462,145.04419742979405,256
Photolithography,17,2.59673e-05,2.53368e-05,113.4159012386432,300,Medium,32.36061244011058,67.63938755988943,5,Current,22.68318024772864,20291.816267966828,56.57454422749046,289
Photolithography,18,2.67463e-05,2.60947e-05,410.9886413393178,450,Low,37.32659484060161,62.67340515939839,5,Current,82.19772826786355,28203.032321729275,177.0934349879076,324
Photolithography,19,2.75487e-05,2.83065e-05,83.54778965589688,450,Medium,57.13194169700611,42.86805830299389,4,Advanced,20.88694741397422,19290.62623634725,51.75869837146058,361
Photolithography,20,2.83752e-05,2.80269e-05,494.0991214702328,200,Medium,86.03250105,13.967498948325698,3,Reduced,164.69970715674427,2793.4997896651394,224.34939890359541,400
Photolithography,21,2.92265e-05,2.92479e-05,397.5101461834959,300,Medium,48.96936629860503,51.03063370139497,3,Reduced,132.5033820611653,15309.19011041849,174.5948683629799,441
Photolithography,22,3.01033e-05,2.94203e-05,139.4220566903776,300,High,60.43408852130355,39.56591147869645,1,Advanced,139.4220566903776,11869.773443608934,74.19904923254211,484
Photolithography,23,3.10063e-05,2.97054e-05,52.48495270562108,450,Medium,32.494371543023526,67.50562845697647,4,Advanced,13.12123817640527,30377.53280563941,31.942292545155492,529
Photolithography,24,3.19365e-05,3.20324e-05,416.95764280467534,450,Low,38.90059205772533,61.09940794227467,5,Reduced,83.39152856093507,27494.73357,179.95323473918774,576
Photolithography,25,3.28946e-05,3.2099e-05,368.0858047314277,450,Low,89.19780737753081,10.802192622469192,5,Current,73.61716094628554,4860.986680111137,175.4936641058303,625
Photolithography,26,3.38815e-05,3.45535e-05,378.0532256184443,300,Low,87.90712178616273,12.092878213837269,2,Current,189.02661280922214,3627.863464151181,178.19342678322653,676
Photolithography,27,3.48979e-05,3.56428e-05,397.0716560086756,300,Medium,30.296398856064577,69.70360114393543,2,Reduced,198.5358280043378,20911.080343180627,168.5175820602896,729
Photolithography,28,3.59449e-05,3.64959e-05,83.32009328034067,300,Low,87.10870712539435,12.891292874605654,5,Advanced,16.664018656068134,3867.3878623816963,60.96064944975457,784
